Hour of day,Year,Day,Day of Year,Latitude,Longitude,Month,Ne/cm-3,O+,N+,hmF2,Tec,foF2,magnitud,Profundidad,VTEC
1,2021,4,246,16.84492,244.3,9,596493,988,11,266.6,12.73,8.253,,,26.9
1.2,2021,4,246,16.84492,244.3,9,546891,988,11,265.5,11.55,7.884,,,26.7
1.5,2021,4,246,16.84492,244.3,9,499141,988,11,265,10.37,7.5,,,27.7
1.8,2021,4,246,16.84492,244.3,9,453755,989,10,265.1,9.23,7.108,,,27.2
2,2021,4,246,16.84492,244.3,9,411174,989,10,265.7,8.15,6.713,,,26.8
2.2,2021,4,246,16.84492,244.3,9,371786,989,10,266.9,7.16,6.323,,,21.8
2.5,2021,4,246,16.84492,244.3,9,335921,990,9,268.6,6.27,5.945,,,20.5
2.8,2021,4,246,16.84492,244.3,9,303856,990,9,270.7,5.49,5.588,,,19.4
3,2021,4,246,16.84492,244.3,9,275787,990,8,273.2,4.82,5.257,,,18.7
3.2,2021,4,246,16.84492,244.3,9,251815,991,8,276.1,4.27,4.96,,,17.3
3.5,2021,4,246,16.84492,244.3,9,231935,991,8,279.2,3.82,4.701,,,16.2
3.8,2021,4,246,16.84492,244.3,9,216018,991,7,282.4,3.46,4.484,,,14.7
4,2021,4,246,16.84492,244.3,9,203817,992,7,285.8,3.18,4.31,,,13.3
4.2,2021,4,246,16.84492,244.3,9,194968,992,7,289.2,2.98,4.176,,,13.2
4.5,2021,4,246,16.84492,244.3,9,189005,992,6,292.5,2.84,4.079,,,12.6
4.8,2021,4,246,16.84492,244.3,9,185382,992,6,295.7,2.74,4.014,,,12.1
5,2021,4,246,16.84492,244.3,9,183501,993,6,298.7,2.68,3.973,,,12.1
5.2,2021,4,246,16.84492,244.3,9,193375,993,6,301.5,2.73,3.95,,,11.6
5.5,2021,4,246,16.84492,244.3,9,191730,993,6,303.9,2.68,3.936,,,11.4
5.8,2021,4,246,16.84492,244.3,9,190249,993,6,306.1,2.65,3.927,,,11
6,2021,4,246,16.84492,244.3,9,188593,993,6,307.9,2.61,3.917,,,10.3
6.2,2021,4,246,16.84492,244.3,9,186602,993,6,309.3,2.58,3.903,,,10
6.5,2021,4,246,16.84492,244.3,9,184288,993,6,310.4,2.54,3.885,,,9.9
6.8,2021,4,246,16.84492,244.3,9,181796,993,6,311,2.5,3.864,,,9.6
7,2021,4,246,16.84492,244.3,9,179350,993,6,311.3,2.45,3.841,,,9.2
7.2,2021,4,246,16.84492,244.3,9,177194,992,6,311.3,2.41,3.818,3.5,16.1,8.8
7.5,2021,4,246,16.84492,244.3,9,175527,992,6,310.9,2.38,3.798,,,9.2
7.8,2021,4,246,16.84492,244.3,9,174446,992,6,310.2,2.36,3.783,,,8.9
8,2021,4,246,16.84492,244.3,9,173907,992,6,309.2,2.35,3.771,,,8.8
8.2,2021,4,246,16.84492,244.3,9,173703,992,6,308,2.34,3.762,,,8.7
8.5,2021,4,246,16.84492,244.3,9,173475,992,6,306.6,2.34,3.753,3.7,15.9,9
8.8,2021,4,246,16.84492,244.3,9,172748,992,6,304.9,2.33,3.74,,,8.9
9,2021,4,246,16.84492,244.3,9,171012,992,6,303.1,2.32,3.716,,,8.2
9.2,2021,4,246,16.84492,244.3,9,167817,992,6,301.1,2.3,3.679,,,8
9.5,2021,4,246,16.84492,244.3,9,156415,992,6,299,2.2,3.625,,,8.4
9.8,2021,4,246,16.84492,244.3,9,149393,991,6,296.8,2.13,3.551,,,8.2
10,2021,4,246,16.84492,244.3,9,140887,991,6,294.5,2.05,3.46,,,7.8
10.2,2021,4,246,16.84492,244.3,9,131366,991,7,292.1,1.95,3.355,,,8.5
10.5,2021,4,246,16.84492,244.3,9,121506,991,7,289.7,1.84,3.244,,,8.1
10.8,2021,4,246,16.84492,244.3,9,112084,990,7,287.2,1.74,3.136,,,7.4
11,2021,4,246,16.84492,244.3,9,103876,990,8,284.6,1.66,3.041,,,8.7
11.2,2021,4,246,16.84492,244.3,9,97567,990,8,282,1.6,2.973,,,8.8
11.5,2021,4,246,16.84492,244.3,9,93713,989,8,279.4,1.58,2.942,,,8.8
11.8,2021,4,246,16.84492,244.3,9,92734,989,9,276.8,1.6,2.958,,,8.8
12,2021,4,246,16.84492,244.3,9,94939,988,9,274.1,1.69,3.028,,,8.5
12.2,2021,4,246,16.84492,244.3,9,100548,988,10,271.5,1.84,3.154,,,8.2
12.5,2021,4,246,16.84492,244.3,9,109679,987,10,268.9,2.05,3.334,,,8.2
12.8,2021,4,246,16.84492,244.3,9,122315,987,10,266.4,2.36,3.564,,,8.4
13,2021,4,246,16.84492,244.3,9,138247,986,11,264,2.74,3.834,,,8.1
13.2,2021,4,246,16.84492,244.3,9,157030,986,11,261.8,3.22,4.133,,,7.5
13.5,2021,4,246,16.84492,244.3,9,177976,985,12,259.7,3.77,4.447,3.9,49.4,8.2
13.8,2021,4,246,16.84492,244.3,9,200211,985,12,257.8,4.39,4.762,,,8.4
14,2021,4,246,16.84492,244.3,9,222772,985,12,256.2,5.03,5.065,,,7.5
14.2,2021,4,246,16.84492,244.3,9,244754,984,13,254.9,5.67,5.348,,,7.2
14.5,2021,4,246,16.84492,244.3,9,265442,984,13,253.9,6.27,5.602,,,7.7
14.8,2021,4,246,16.84492,244.3,9,284431,984,13,253.4,6.84,5.826,,,8.6
15,2021,4,246,16.84492,244.3,9,301670,984,14,253.2,7.35,6.019,,,9.7
15.2,2021,4,246,16.84492,244.3,9,317469,983,14,253.5,7.83,6.185,,,11.2
15.5,2021,4,246,16.84492,244.3,9,332437,983,14,254.2,8.27,6.332,,,12.3
15.8,2021,4,246,16.84492,244.3,9,347397,983,14,255.4,8.7,6.468,,,13.9
16,2021,4,246,16.84492,244.3,9,363270,983,14,257.1,9.12,6.601,,,14.9
16.2,2021,4,246,16.84492,244.3,9,380973,983,14,259.3,9.57,6.741,,,14.7
16.5,2021,4,246,16.84492,244.3,9,401313,984,14,261.9,10.05,6.893,,,14.4
16.8,2021,4,246,16.84492,244.3,9,424902,984,14,264.9,10.64,7.062,,,14.5
17,2021,4,246,16.84492,244.3,9,452081,984,14,268.3,11.23,7.251,,,14.6
17.2,2021,4,246,16.84492,244.3,9,482863,984,14,272,11.89,7.458,,,14.9
17.5,2021,4,246,16.84492,244.3,9,516906,984,14,276,12.6,7.681,,,15.8
17.8,2021,4,246,16.84492,244.3,9,553526,984,14,280.2,13.36,7.915,,,16.5
18,2021,4,246,16.84492,244.3,9,591754,985,14,284.4,14.14,8.155,,,17
18.2,2021,4,246,16.84492,244.3,9,630445,985,14,288.6,14.94,8.394,,,16.9
18.5,2021,4,246,16.84492,244.3,9,668441,985,14,292.8,15.72,8.627,,,17.4
18.8,2021,4,246,16.84492,244.3,9,704718,985,14,296.8,16.48,8.851,,,18.1
19,2021,4,246,16.84492,244.3,9,1018181,985,14,300.5,19.57,9.062,,,19.1
19.2,2021,4,246,16.84492,244.3,9,1061870,985,14,303.9,20.28,9.258,,,20
19.5,2021,4,246,16.84492,244.3,9,1101715,984,14,306.9,20.93,9.44,,,21.1
19.8,2021,4,246,16.84492,244.3,9,1138059,984,14,309.4,21.52,9.607,,,22.2
20,2021,4,246,16.84492,244.3,9,1171569,984,14,311.4,22.06,9.762,,,23.7
20.2,2021,4,246,16.84492,244.3,9,1202975,984,15,312.7,22.55,9.905,3.5,11.1,24.5
20.5,2021,4,246,16.84492,244.3,9,1232875,984,15,313.5,22.99,10.037,,,25.6
20.8,2021,4,246,16.84492,244.3,9,1261577,984,15,313.6,23.38,10.157,,,26.8
21,2021,4,246,16.84492,244.3,9,1288970,984,14,313,23.72,10.264,,,27.4
21.2,2021,4,246,16.84492,244.3,9,1314453,984,14,311.9,24.01,10.355,,,28.2
21.5,2021,4,246,16.84492,244.3,9,1336877,985,14,310.1,24.24,10.429,,,28.2
21.8,2021,4,246,16.84492,244.3,9,1354570,985,14,307.8,24.39,10.48,,,27.8
22,2021,4,246,16.84492,244.3,9,1365450,985,14,305.1,24.45,10.506,,,27
22.2,2021,4,246,16.84492,244.3,9,1367287,985,14,301.9,24.41,10.503,,,26.3
22.5,2021,4,246,16.84492,244.3,9,987776,985,14,298.4,21.07,10.467,,,25.2
22.8,2021,4,246,16.84492,244.3,9,974265,986,13,294.7,20.71,10.396,,,24.3
23,2021,4,246,16.84492,244.3,9,952601,986,13,290.9,20.24,10.29,,,22.7
23.2,2021,4,246,16.84492,244.3,9,923184,986,13,287,19.64,10.148,,,22.2
23.5,2021,4,246,16.84492,244.3,9,886885,986,13,283.2,18.91,9.97,,,21.7
23.8,2021,4,246,16.84492,244.3,9,844904,986,13,279.5,18.08,9.758,,,21.7
24,2021,4,246,16.84492,244.3,9,798621,987,13,276.1,17.14,9.513,,,21
1,2021,5,247,16.84492,244.3,9,594752,988,12,265.7,12.72,8.243,,,20.2
1.2,2021,5,247,16.84492,244.3,9,544624,988,11,264.8,11.77,7.944,,,21.2
1.5,2021,5,247,16.84492,244.3,9,496486,988,11,264.3,10.81,7.636,,,21.4
1.8,2021,5,247,16.84492,244.3,9,450834,989,11,264.2,9.88,7.322,,,21.2
2,2021,5,247,16.84492,244.3,9,408087,989,10,264.5,8.97,7.003,,,22.1
2.2,2021,5,247,16.84492,244.3,9,368616,990,10,265.1,8.1,6.685,,,23.6
2.5,2021,5,247,16.84492,244.3,9,332734,990,9,266.1,7.3,6.37,,,23.9
2.8,2021,5,247,16.84492,244.3,9,300703,990,9,267.4,6.56,6.062,,,24
3,2021,5,247,16.84492,244.3,9,272707,991,9,269,5.89,5.766,,,24.1
3.2,2021,5,247,16.84492,244.3,9,248838,991,8,270.9,5.3,5.484,,,23.4
3.5,2021,5,247,16.84492,244.3,9,229078,991,8,273,4.78,5.222,,,22.1
3.8,2021,5,247,16.84492,244.3,9,213292,992,7,275.4,4.32,4.981,,,20.6
4,2021,5,247,16.84492,244.3,9,201222,992,7,277.9,3.94,4.765,,,18.7
4.2,2021,5,247,16.84492,244.3,9,192501,992,7,280.5,3.62,4.575,,,17.3
4.5,2021,5,247,16.84492,244.3,9,186657,993,7,283.2,3.35,4.413,,,15
4.8,2021,5,247,16.84492,244.3,9,183142,993,6,286,3.14,4.278,,,13.1
5,2021,5,247,16.84492,244.3,9,181358,993,6,288.8,2.98,4.169,,,11.7
5.2,2021,5,247,16.84492,244.3,9,191029,993,6,291.5,2.85,4.085,,,11
5.5,2021,5,247,16.84492,244.3,9,189477,993,6,294.1,2.76,4.022,,,10.3
