Day,hour,Latitude,Longitude,magnitud,Profundidad,Tec,Ne/cm-3,O+,N+,hmF2,foF2,VTEC
05/04/2023,01:00,16.84492,244.3,0,0,47.87,1764394,987,13,294.3,11.944,26.9
05/04/2023,01:20,16.84492,244.3,0,0,46.64,1720633,987,13,293.7,11.798,26.7
05/04/2023,02:20,16.84492,244.3,0,0,45.42,1677932,987,12,293.4,11.652,27.7
05/04/2023,03:20,16.84492,244.3,0,0,44.21,1636364,988,12,293.4,11.507,27.2
05/04/2023,04:20,16.84492,244.3,0,0,43,1595902,988,12,293.7,11.362,26.8
05/04/2023,05:20,16.84492,244.3,0,0,41.8,1556455,988,11,294.2,11.218,21.8
05/04/2023,06:20,16.84492,244.3,0,0,40.56,1517892,989,11,295,11.075,20.5
05/04/2023,07:20,16.84492,244.3,0,0,39.37,1480086,989,11,295.9,10.932,19.4
05/04/2023,08:20,16.84492,244.3,0,0,38.2,1442917,989,10,297.1,10.791,18.7
05/04/2023,09:20,16.84492,244.3,0,0,37.04,1406301,990,10,298.4,10.65,17.3
05/04/2023,10:20,16.84492,244.3,0,0,35.91,1370185,990,10,299.9,10.512,16.2
05/04/2023,11:20,16.84492,244.3,0,0,34.79,1334524,990,9,301.4,10.375,14.7
05/04/2023,12:20,16.84492,244.3,0,0,33.72,1299120,991,9,303,10.24,13.3
05/04/2023,13:20,16.84492,244.3,0,0,32.7,1263749,991,9,304.7,10.107,13.2
05/04/2023,14:20,16.84492,244.3,0,0,31.75,1228242,991,8,306.3,9.976,12.6
05/04/2023,15:20,16.84492,244.3,0,0,30.87,1192522,991,8,307.9,9.846,12.1
05/04/2023,16:20,16.84492,244.3,0,0,30.06,1156610,991,8,309.5,9.716,12.1
05/04/2023,17:20,16.84492,244.3,0,0,29.28,1120602,992,8,310.9,9.586,11.6
05/04/2023,18:20,16.84492,244.3,0,0,28.54,1084592,992,8,312.3,9.454,11.4
05/04/2023,19:20,16.84492,244.3,0,0,27.81,1048633,992,8,313.5,9.318,11
05/04/2023,20:20,16.84492,244.3,0,0,27.07,1012702,992,8,314.7,9.178,10.3
05/04/2023,21:20,16.84492,244.3,0,0,26.3,976721,992,8,315.6,9.031,10
05/04/2023,22:20,16.84492,244.3,0,0,25.49,940586,992,8,316.4,8.877,9.9
05/04/2023,23:20,16.84492,244.3,0,0,24.65,904218,992,8,317.1,8.715,9.6
05/04/2023,00:20,16.84492,244.3,0,0,23.75,867603,992,8,317.6,8.544,9.2
05/04/2023,01:20,16.84492,244.3,3.5,16.1,22.82,830819,992,8,317.9,8.366,8.8
05/04/2023,02:20,16.84492,244.3,0,0,21.85,794053,992,8,318.1,8.18,9.2
05/04/2023,03:20,16.84492,244.3,0,0,20.86,757596,992,8,318.1,7.989,8.9
05/04/2023,04:20,16.84492,244.3,0,0,19.86,721822,992,8,318,7.795,8.8
05/04/2023,05:20,16.84492,244.3,0,0,18.88,687159,992,8,317.8,7.601,8.7
05/04/2023,06:20,16.84492,244.3,3.7,15.9,17.92,654053,992,8,317.5,7.41,9
05/04/2023,07:20,16.84492,244.3,0,0,17.01,622923,992,8,317.1,7.224,8.9
05/04/2023,08:20,16.84492,244.3,0,0,16.15,594126,991,8,316.5,7.047,8.2
05/04/2023,09:20,16.84492,244.3,0,0,15.37,567923,991,8,316,6.882,8
05/04/2023,10:20,16.84492,244.3,0,0,14.66,544454,991,8,315.3,6.729,8.4
05/04/2023,11:20,16.84492,244.3,0,0,14.03,523727,991,8,314.6,6.591,8.2
05/04/2023,12:20,16.84492,244.3,0,0,13.47,505610,991,8,313.8,6.467,7.8
